platform,post_id,post_date,post_url,post_message,standardized_tags,raw_post_type,raw_tags,primary_asset_type,asset_type_basis,asset_type_source,override_notes
linkedin,urn:li:ugcPost:7449821326321618944,2026-04-14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7449821326321618944,"🌟 Our 2026 Rising Star awardee, Dr. Senjuti Saha, has already left a permanent mark on public health.  Under her leadership as Deputy Executive Director of the Child Health Research Foundation in Bangladesh, surveillance programs have continued to generate critical evidence for the impact of vaccines, and her landmark studies on typhoid epidemiology and antimicrobial resistance formed the scientific foundation for Bangladesh’s launch of the typhoid conjugate vaccine campaign in October 2025, where over 40 million children under the age of 15 have been vaccinated so far.  We are excited to celebrate Dr. Saha for her impactful work, and also for her compassionate, community-rooted approach to science and mentorship.   Read her full bio on our website ⤵️ and mark your calendar to join the Sabin Awards Ceremony livestream on May 12 at 6:30 p.m. on sabin.org.  https://ow.ly/GfPX50YIrEB",Photo Carousel; Sabin Awards,Photo,"Asset Type: Photo Carousel, Topic: Sabin Awards",Carousel,asset-like standardized tag,standardized_posts.tags,
linkedin,7452064859661299712,2026-04-20,https://www.linkedin.com/feed/update/urn:li:share:7452064859661299712,"Looking for a position that makes a difference in the world? Our Research & Development team is growing, and we need people who are dedicated to vaccine science and interested in expanding vaccine access to everyone, everywhere.  Check out current openings ⤵️ https://ow.ly/ggUu50YLlHO",Single Photo; Sabin R&D; HR & Recruitment,Photo,"Asset Type: Single Photo, Team: Sabin R&D, Topic: HR & Recruitment",Photo,asset-like standardized tag,standardized_posts.tags,
linkedin,urn:li:ugcPost:7447692247724290048,2026-04-08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7447692247724290048,"When you work in vaccine development, your friends and family may or may not be able to explain exactly what you do every day... 💉Hear from a few members of Sabin's R&D team on how close their loved ones come to nailing their job description.  And as for the real work, here's an explainer on how vaccines are made safe and effective ⤵️ https://ow.ly/y4H250YClMe",Video Short; Blog; Sabin R&D,Video,"Asset Type: Video Short, Promoted Content: Blog, Team: Sabin R&D",Video short,asset-like standardized tag,standardized_posts.tags,
linkedin,urn:li:ugcPost:7454549986060439554,2026-04-27,https://www.linkedin.com/feed/update/urn:li:ugcPost:7454549986060439554,"Vaccines aren't just an essential public health tool — they also save individuals and communities  money. Illness can disrupt the workforce, overwhelm health care systems, and ultimately be far more expensive than the vaccines that could have prevented the disease. #VaccinesWork #WorldImmunizationWeek2026",Graphics Carousel; General #VaccinesWork,Status,"Asset Type: Graphics Carousel, Theme: General #VaccinesWork",Carousel,asset-like standardized tag,standardized_posts.tags,
linkedin,urn:li:ugcPost:7445543972913147905,2026-04-02,https://www.linkedin.com/feed/update/urn:li:ugcPost:7445543972913147905,"Dozens of meetings, five panels and presentations, serious conversations about vaccine development and preparing for future outbreaks — it's been a busy week at the World Vaccine Congress. Here are live reactions from some of the Sabin team. 🎤   #WVCDC",Video Short; Event,Video,"Asset Type: Video Short, Promoted Content: Event",Video short,asset-like standardized tag,standardized_posts.tags,
linkedin,7450178496468774912,2026-04-15,https://www.linkedin.com/feed/update/urn:li:share:7450178496468774912,"The Sabin Vaccine Institute bids farewell to two members of its Board of Trustees who have had significant impact on the growth of the organization and welcomes two new members to the Board.   Sabin benefitted from the tenures of Trustees of Dr. Axel Hoos (far left), who served on the Board for 20 years, including several years as Chair, and Dr. Jacqueline Shea (second from left), CEO at Inovio Pharmaceuticals, Inc.  Joining the Sabin Board: Rene Salas (second from right) and Dr. John Paul Clark (far right).  “As we navigate a rapidly evolving R&D and global immunization landscape, their varied global and health experiences will add significantly to our Board,"" says Board Chair Dr. Regina Rabinovich.   Read more ⤵️ https://ow.ly/nAkG50YJTaG",,Photo,,Photo,raw platform post type,linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,
linkedin,urn:li:ugcPost:7450538499264401408,2026-04-16,https://www.linkedin.com/feed/update/urn:li:ugcPost:7450538499264401408,"Join us in celebrating the tenure of Dr. Axel Hoos, who is departing the Sabin Board of Trustees after more than 20 years. 👏 His legacy includes two terms as Executive Chair, initiating a new strategic direction for the organization, and setting us on a path that includes vaccine development towards licensure. We thank him for his many years of impactful leadership.",General Sabin Staff/Org,Video,Topic: General Sabin Staff/Org,Video short,raw platform post type,linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,
linkedin,urn:li:ugcPost:7455342677723750402,2026-04-29,https://www.linkedin.com/feed/update/urn:li:ugcPost:7455342677723750402,"""We have vaccines. We have the tools and the resources that are needed. But it's about how we can deliver those while working with countries as the ultimate decision-makers.""  This #WorldImmunizationWeek, hear from Sabin President of Global Immunization Rebecca Martin on why immunization is a critical pillar of global health security. ⤵️ #VaccinesWork",Video Short; Sabin Global Immunization; Vaccine Access & Equity,Video,"Asset Type: Video Short, Team: Sabin Global Immunization, Theme: Vaccine Access & Equity",Video short,asset-like standardized tag,standardized_posts.tags,
linkedin,urn:li:ugcPost:7453506825997471744,2026-04-24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7453506825997471744,"What is a malariologist, and why is the work they do so important? 🦟  This #WorldMalariaDay, hear about the nuances of preventing the disease from Jason Maguire, Vice President, Clinical for Sabin's Research and Development team. Dr. Maguire, a malariologist,  studied and treated the disease for years as a physician and researcher with the U.S. Navy. ⤵️ ",Video Short; Malaria,Video,"Asset Type: Video Short, Disease Area: Malaria",Video short,asset-like standardized tag,standardized_posts.tags,
linkedin,urn:li:ugcPost:7452363094145679360,2026-04-21,https://www.linkedin.com/feed/update/urn:li:ugcPost:7452363094145679360,"🏅 Through their unwavering dedication to innovation in the service of humanity, the 2026 Sabin Gold Medal winners have advanced immunization and inspired a generation of scientists.  As physician-scientists, entrepreneurs, and life partners, Professors Uğur Şahin, MD, and Özlem Türeci, MD, have devoted their careers to translating science into meaningful medical advances for patients.   Together they led and initiated the historic development of the first approved new technology vaccine against COVID-19, moving from lab and clinical evaluation to conditional approval within an unprecedented 11-month period. This vaccine is credited with saving millions of lives worldwide.  With their team and partners, they are also leading initiatives to contribute to build a sustainable and resilient vaccine ecosystem, contributing to improved access to novel medicines worldwide.  Read more about their work on our website and stay tuned for details on how to livestream the 2026 Sabin Awards Ceremony on May 12.  https://lnkd.in/eDrqF8_n BioNTech SE ",Photo Carousel; Sabin Awards,Photo,"Asset Type: Photo Carousel, Topic: Sabin Awards",Carousel,asset-like standardized tag,standardized_posts.tags,
